property_type,society,sector,price,price_per_sqft,bedRoom,bathroom,balcony,floorNum,facing,built_up_area,study room,servant room,store room,pooja room,others,age_category,furnishing_type,luxury_score,combined_rating,coordinates,latitude,longitude
house,vipul tatvam villa,sector 48,7.25,22377.0,4,4,3,2.0,North,3240.0,1,1,1,1,0,Relatively New,Furnished,69,4.25,"28.4177° N, 77.0359° E",28.4177, 77.0359
house,independent,sector 47,0.99,17188.0,1,4,3,4.0,East,576.0,0,0,0,0,0,Relatively New,Unfurnished,6,4.75,"28.4276° N, 77.0492° E",28.4276, 77.0492
house,independent,sector 26,20.0,44444.0,5,7,3+,3.0,West,4500.0,0,1,0,1,0,Relatively New,Semi-Furnished,66,5.0,"28.4757° N, 77.1032° E",28.4757, 77.1032
house,dlf south city 1,sector 41,2.65,18929.0,3,3,3,4.0,North-East,1800.0,0,1,0,0,0,New Property,Furnished,16,5.0,"28.4557° N, 77.0632° E",28.4557, 77.0632
house,independent,sector 10,3.6,19608.0,3,4,3,3.0,North,1836.0,0,0,0,1,0,Moderately Old,Furnished,9,4.75,"28.4537° N, 77.0009° E",28.4537, 77.0009
house,signature global city,sector 37,1.27,8089.0,3,3,3,4.0,East,1570.0,0,0,0,1,0,Relatively New,Unfurnished,53,4.0,"28.4375° N, 76.9999° E",28.4375, 76.9999
house,signature global city 81,sector 81,0.75,6849.0,3,2,3,4.0,East,1095.0,1,0,0,0,0,Under Construction,Unfurnished,62,4.12,"28.3867° N, 76.9485° E",28.3867, 76.9485
house,independent,sector 2,6.0,24691.0,5,6,3+,3.0,East,2430.0,1,0,0,1,1,Old Property,Furnished,25,4.75,"28.5095° N, 77.0320° E",28.5095, 77.0320
house,emaar mgf marbella,sector 66,18.0,40000.0,5,6,3+,3.0,North-East,4500.0,1,1,1,1,0,Relatively New,Semi-Furnished,94,3.75,"28.3925° N, 77.0541° E",28.3925, 77.0541
house,unitech espace,sector 50,11.29,34846.0,5,5,3+,2.0,North-West,3240.0,1,0,0,1,0,Moderately Old,Unfurnished,13,5.0,"28.4178° N, 77.0628° E",28.4178, 77.0628
house,independent,sector 43,8.49,31444.0,3,3,2,4.0,North,2700.0,0,1,0,1,0,Relatively New,Furnished,10,4.25,"28.4629° N, 77.0772° E",28.4629, 77.0772
house,vipul tatvam villa,sector 48,8.5,26235.0,4,4,1,2.0,North,3240.0,0,0,0,0,0,Relatively New,Unfurnished,6,4.25,"28.4177° N, 77.0359° E",28.4177, 77.0359
house,eldeco mansionz,sector 48,6.0,22222.0,4,4,3+,2.0,East,2700.0,0,1,0,0,0,Moderately Old,Unfurnished,46,4.25,"28.4177° N, 77.0359° E",28.4177, 77.0359
house,experion windchants,sector 112,9.5,23457.0,5,5,3,2.0,South,7450.0,0,1,0,0,0,Relatively New,Unfurnished,25,4.0,"28.5189° N, 77.0183° E",28.5189, 77.0183
house,independent,sector 2,19.5,27083.0,8,9,3+,2.0,North,7200.0,1,1,0,1,0,New Property,Unfurnished,60,4.75,"28.5095° N, 77.0320° E",28.5095, 77.0320
house,independent,sector 26,10.5,43210.0,3,12,3+,4.0,North-East,3229.2,0,1,0,1,0,Relatively New,Furnished,38,5.0,"28.4757° N, 77.1032° E",28.4757, 77.1032
house,independent,sector 25,4.31,31926.0,5,4,3,3.0,North,1350.0,0,0,0,0,0,Old Property,Unfurnished,18,5.0,"28.4844° N, 77.0860° E",28.4844, 77.0860
house,ansal sushant lok,sector 43,10.5,27911.0,4,4,2,2.0,North-East,3762.0,0,1,0,0,0,Old Property,Unfurnished,36,5.0,"28.4629° N, 77.0772° E",28.4629, 77.0772
house,independent,sector 25,10.5,29022.0,5,5,3,3.0,East,3618.0,1,1,0,1,0,Moderately Old,Unfurnished,24,5.0,"28.4844° N, 77.0860° E",28.4844, 77.0860
house,independent,sector 26,5.8,12838.0,4,4,3+,4.0,East,4518.0,0,0,0,0,0,Old Property,Unfurnished,29,4.25,"28.4757° N, 77.1032° E",28.4757, 77.1032
house,independent,sector 26,4.6,12198.0,4,4,3+,2.0,East,3771.0,0,0,0,0,0,Old Property,Unfurnished,14,4.25,"28.4757° N, 77.1032° E",28.4757, 77.1032
house,independent,sector 50,11.58,35741.0,5,5,3,2.0,East,3240.0,0,1,0,0,0,Moderately Old,Unfurnished,9,5.0,"28.4178° N, 77.0628° E",28.4178, 77.0628
house,ansals palam vihar,sector 2,4.0,16667.0,4,4,3+,2.0,North-East,2400.0,0,1,0,0,0,Moderately Old,Unfurnished,0,4.75,"28.5095° N, 77.0320° E",28.5095, 77.0320
house,international city by sobha phase 1,sector 109,6.0,9634.0,5,5,3+,2.0,South-West,6228.0,1,1,1,1,0,Relatively New,Unfurnished,94,4.25,"28.5073° N, 77.0089° E",28.5073, 77.0089
house,unitech aspen greens,sector 50,6.8,31481.0,4,5,3,3.0,West,2368.08,1,1,0,0,0,Old Property,Furnished,73,5.0,"28.4178° N, 77.0628° E",28.4178, 77.0628
house,dlf new town heights,sector 86,2.5,7827.0,4,5,3+,4.0,West,3194.0,0,1,0,1,1,Moderately Old,Furnished,28,4.75,"28.3986° N, 76.9384° E",28.3986, 76.9384
house,international city by sobha phase 2,sector 109,8.48,23556.0,4,6,3+,3.0,North-East,3600.0,1,1,1,1,0,New Property,Unfurnished,90,4.25,"28.5073° N, 77.0089° E",28.5073, 77.0089
house,international city by sobha phase 2,sector 109,6.25,10035.0,5,7,3+,3.0,North-East,6228.0,1,1,1,1,0,Relatively New,Unfurnished,87,4.25,"28.5073° N, 77.0089° E",28.5073, 77.0089
house,sushant lok 1 builder floors,sector 43,10.85,28841.0,8,8,3,3.0,West,3762.0,1,1,1,1,0,Moderately Old,Semi-Furnished,96,5.0,"28.4629° N, 77.0772° E",28.4629, 77.0772
house,independent,sector 47,5.15,26615.0,3,9,3+,3.0,East,1935.0,0,0,1,0,0,Relatively New,Furnished,37,4.88,"28.4276° N, 77.0492° E",28.4276, 77.0492
house,independent,sector 31,3.5,24155.0,4,4,3,2.0,North-East,1449.0,0,0,1,0,0,Old Property,Furnished,44,4.75,"28.4528° N, 77.0498° E",28.4528, 77.0498
house,independent,sector 91,3.6,14815.0,4,4,3,2.0,North-East,2430.0,0,0,0,0,0,New Property,Furnished,28,3.88,"28.4014° N, 76.9225° E",28.4014, 76.9225
house,ansals florence villa,sector 57,6.0,22222.0,4,5,2,2.0,East,2700.0,0,1,0,1,0,Old Property,Furnished,9,4.0,"28.4232° N, 77.0752° E",28.4232, 77.0752
house,vatika the seven lamps,sector 82,1.6,6598.0,4,4,3+,16.0,North,2425.0,0,1,0,0,0,Moderately Old,Unfurnished,52,4.0,"28.3935° N, 76.9600° E",28.3935, 76.9600
house,vatika india next,sector 83,1.7,7870.0,3,3,3+,4.0,North-West,2160.0,0,1,0,1,0,New Property,Unfurnished,0,4.75,"28.3986° N, 76.9647° E",28.3986, 76.9647
house,independent,sector 57,7.25,26852.0,9,9,3+,2.0,North-East,2700.0,0,1,0,1,1,New Property,Furnished,28,4.0,"28.4232° N, 77.0752° E",28.4232, 77.0752
house,independent,sector 43,15.5,28233.0,5,6,3,3.0,East,5490.0,1,1,1,1,0,Moderately Old,Unfurnished,42,4.25,"28.4629° N, 77.0772° E",28.4629, 77.0772
house,independent,sector 14,3.4,15111.0,3,3,3,1.0,North-West,2250.0,0,0,0,0,0,Old Property,Unfurnished,14,4.5,"28.4711° N, 77.0454° E",28.4711, 77.0454
house,independent,sector 28,11.25,34722.0,9,9,3+,2.0,North,3240.0,0,1,1,1,0,Moderately Old,Furnished,68,4.75,"28.4728° N, 77.0865° E",28.4728, 77.0865
house,ansals florence villa,sector 57,3.3,19820.0,4,3,3+,2.0,East,1665.0,1,1,1,1,0,Moderately Old,Unfurnished,84,4.0,"28.4232° N, 77.0752° E",28.4232, 77.0752
