property_type,society,sector,price,price_per_sqft,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,built_up_area,study room,servant room,store room,pooja room,others,age_category,furnishing_type,luxury_score,combined_rating
flat,hcbs sports ville,sohna road,0.28,3769.0,Built Up area: 743 (69.03 sq.m.)Carpet area: 643 sq.ft. (59.74 sq.m.),2,2,1,11.0,East,743.0,0,0,0,0,0,Relatively New,Unfurnished,20,3.6
flat,puri the aravallis,sector 61,3.87,17200.0,Super Built up area 2250(209.03 sq.m.)Carpet area: 1249.65 sq.ft. (116.1 sq.m.),3,4,3+,21.0,East,1712.0,0,1,0,0,0,Under Construction,Unfurnished,39,4.2
flat,brisk lumbini terrace homes,sector 109,1.38,6339.0,Carpet area: 2177 (202.25 sq.m.),3,3,1,4.0,North,2419.0,0,0,0,0,0,Moderately Old,Unfurnished,8,4.25
flat,huda ashok vihar phase,sector 4,0.43,6615.0,Carpet area: 650 (60.39 sq.m.),2,2,1,2.0,North-East,722.0,0,0,0,0,0,Relatively New,Unfurnished,4,4.5
flat,my home,sector 110,0.285,3167.0,Carpet area: 900 (83.61 sq.m.),2,1,1,2.0,West,1000.0,0,0,0,0,1,Relatively New,Unfurnished,6,4.0
flat,signature global city,sector 37,1.1,9839.0,Carpet area: 1118 (103.87 sq.m.),2,2,2,4.0,South,1242.0,0,0,0,0,0,Relatively New,Unfurnished,35,4.0
flat,m3m heights,sector 65,2.0,13957.0,Built Up area: 1433 (133.13 sq.m.)Carpet area: 1000 sq.ft. (92.9 sq.m.),2,2,2,32.0,East,1433.0,0,0,0,0,0,Relatively New,Unfurnished,31,4.25
flat,signature global park,sohna road,0.9,8036.0,Super Built up area 1120(104.05 sq.m.),3,2,2,2.0,South,1014.0,0,0,0,0,0,Relatively New,Unfurnished,88,4.8
flat,signature global park,sohna road,0.9,8036.0,Built Up area: 1120 (104.05 sq.m.),3,2,0,2.0,East,1120.0,0,0,0,0,0,Relatively New,Unfurnished,38,4.8
flat,godrej nature plus,sector 33,1.75,8768.0,Built Up area: 1996 (185.43 sq.m.),3,3,0,2.0,East,1996.0,0,0,0,0,0,New Property,Unfurnished,26,4.1
flat,supertech hues,sector 68,0.93,8611.0,Carpet area: 1080 (100.34 sq.m.),2,2,2,11.0,East,1200.0,0,0,0,0,0,New Property,Unfurnished,0,4.0
flat,dlf new town heights,sector 90,1.8,6601.0,Super Built up area 2727(253.35 sq.m.),4,4,3+,23.0,West,2468.0,0,0,0,0,0,Moderately Old,Unfurnished,39,4.4
flat,central park flower valley aqua front towers,sector 33,2.1,11738.0,Super Built up area 1789(166.2 sq.m.),3,3,2,6.0,East,1619.0,0,0,0,0,0,Under Construction,Unfurnished,24,4.1
flat,ambience creacions,sector 22,2.0,14493.0,Carpet area: 1380 (128.21 sq.m.),2,2,2,9.0,East,1533.0,0,0,0,0,0,Relatively New,Unfurnished,23,4.5
flat,signature global city 63a,sector 63,2.0,12804.0,Built Up area: 1540 (143.07 sq.m.),3,3,2,1.0,North,1540.0,0,0,0,0,0,Relatively New,Unfurnished,19,4.25
flat,godrej oasis,sector 88a,1.29,7799.0,Super Built up area 1629(151.34 sq.m.)Carpet area: 1628 sq.ft. (151.25 sq.m.),3,3,3,5.0,North-West,1642.0,1,0,0,0,1,New Property,Unfurnished,44,4.7
flat,m3m skycity,sector 65,2.85,15591.0,Super Built up area 1828(169.83 sq.m.),3,3,3,43.0,South,1654.0,0,0,0,0,0,Relatively New,Furnished,71,4.25
flat,supertech araville,sector 79,1.1,5641.0,Carpet area: 1950 (181.16 sq.m.),3,3,3,1.0,North,2167.0,0,0,0,0,0,Relatively New,Furnished,56,3.75
flat,smart world orchard,sector 61,1.65,13750.0,Carpet area: 1200 (111.48 sq.m.),2,2,2,1.0,East,1333.0,1,0,0,0,0,Relatively New,Unfurnished,21,4.2
flat,hcbs sports ville,sohna road,0.24,7407.0,Carpet area: 324 (30.1 sq.m.),1,1,2,1.0,North,360.0,0,0,0,0,0,New Property,Unfurnished,44,3.6
flat,emaar palm premier,sector 77,2.1,10500.0,Super Built up area 2000(185.81 sq.m.)Built Up area: 1600 sq.ft. (148.64 sq.m.)Carpet area: 1500 sq.ft. (139.35 sq.m.),3,4,3+,11.0,North-East,1600.0,0,1,0,0,0,New Property,Furnished,72,4.25
flat,godrej nature plus,sector 33,1.9,9850.0,Carpet area: 1929 (179.21 sq.m.),3,3,3+,14.0,East,2143.0,0,1,0,0,0,New Property,Unfurnished,55,4.1
flat,godrej aria,sector 79,1.1,11482.0,Super Built up area 89,2,2,3,9.0,East,81.0,0,0,0,0,0,New Property,Unfurnished,45,4.4
