property_type,sector,price,bedRoom,bathroom,balcony,facing,built_up_area,servant room,age_category,furnishing_type,combined_rating,luxury_category,floor_category
flat,sector 33,1.55,3,2,3+,East,1730.0,0,New Property,Unfurnished,4.1,Low,Mid Floor
flat,dwarka expressway,1.3,3,3,2,East,1303.0,0,Relatively New,Unfurnished,4.0,Low,Mid Floor
flat,sector 113,2.75,4,4,3+,East,2886.0,1,Under Construction,Semi-Furnished,4.3,Low,High Floor
flat,sector 103,1.25,3,3,3+,North-East,1464.0,0,New Property,Unfurnished,4.0,Medium,Low Floor
flat,sector 63,0.42,3,2,2,West,630.0,0,Relatively New,Unfurnished,4.25,Low,Low Floor
flat,sohna road,0.4,2,2,1,North-East,615.0,0,New Property,Unfurnished,5.0,Low,Mid Floor
flat,sohna road,0.34,2,2,1,North,699.0,0,New Property,Unfurnished,4.25,Low,Low Floor
flat,sector 89,1.25,3,3,3,East,1288.0,0,New Property,Unfurnished,4.0,Low,Mid Floor
flat,sector 77,1.5,3,3,3,North-East,1310.0,0,Relatively New,Furnished,4.6,Medium,Mid Floor
flat,dwarka expressway,1.3,3,3,2,East,1267.0,0,Relatively New,Unfurnished,4.0,Low,Mid Floor
flat,sector 99,1.6,3,3,3,North-East,1810.0,0,Relatively New,Unfurnished,3.25,Low,Mid Floor
flat,sector 113,1.5,2,2,2,North-East,1418.0,0,New Property,Unfurnished,4.3,Low,High Floor
flat,sector 113,1.5,2,2,2,North-East,1155.0,0,New Property,Unfurnished,4.3,Low,High Floor
flat,sector 104,0.9,2,2,0,East,1259.0,0,Relatively New,Unfurnished,4.0,Low,High Floor
flat,sector 52,1.5,4,4,3,South,1484.0,0,Old Property,Unfurnished,4.0,Low,Mid Floor
flat,sector 67,0.8,1,1,0,North,610.0,0,Relatively New,Unfurnished,4.12,Low,Low Floor
flat,sector 86,1.25,3,2,1,East,1529.0,0,New Property,Unfurnished,4.75,Low,High Floor
flat,sohna road,0.26,2,2,1,East,535.0,0,Relatively New,Unfurnished,4.3,Low,Low Floor
flat,sohna road,0.42,2,2,1,East,590.0,0,New Property,Unfurnished,4.25,Low,High Floor
flat,sector 43,2.5,3,3,2,West,195.0,0,New Property,Unfurnished,4.88,Low,Low Floor
flat,sector 78,0.9,3,3,2,East,1900.0,1,Moderately Old,Unfurnished,4.25,Low,Low Floor
flat,sector 92,0.42,2,2,1,East,657.0,0,Relatively New,Furnished,4.0,Low,Mid Floor
flat,sector 107,0.5,2,2,1,South,494.0,0,Relatively New,Unfurnished,4.0,Low,High Floor
flat,sector 79,0.9,2,2,3,North,1450.0,0,Relatively New,Unfurnished,3.75,Low,Mid Floor
flat,sector 89,1.3,3,3,3+,South-West,2122.0,1,New Property,Unfurnished,4.0,Low,Low Floor
flat,sector 33,1.7,3,3,3,East,1619.0,0,Under Construction,Unfurnished,4.1,Low,High Floor
flat,sector 92,1.25,4,3,0,North-West,2040.0,0,Relatively New,Unfurnished,4.0,Low,High Floor
flat,sector 82,2.91,4,4,3,East,3902.0,1,Under Construction,Furnished,5.0,Medium,Mid Floor
flat,sector 12,1.15,3,4,2,East,2000.0,1,Old Property,Furnished,3.88,Low,Low Floor
flat,sector 89,1.2,3,3,3,East,1064.0,0,Relatively New,Unfurnished,4.0,Medium,Mid Floor
flat,sohna road road,1.5,2,2,3,East,1361.0,0,New Property,Unfurnished,4.25,Low,High Floor
