property_type,sector,price_per_sqft,bedRoom,bathroom,balcony,servant room,age_category,furnishing_type,combined_rating,dist_cyber_city_km,luxury_category,floor_category,price
0.0,92.0,12526.0,3,3,3.0,0,3.0,2.0,4,16.34701940513016,0.0,2.0,1.2
0.0,101.0,12245.0,2,2,3.0,0,1.0,2.0,4,12.095045917417066,1.0,0.0,1.5
0.0,100.0,7424.0,3,3,4.0,0,3.0,2.0,4,10.315343042261606,1.0,2.0,1.3
0.0,7.0,10361.0,3,3,3.0,0,3.0,2.0,4,9.444756665310383,1.0,1.0,1.75
0.0,33.0,6471.0,2,2,1.0,0,3.0,0.0,3,22.124747987328313,1.0,2.0,0.55
0.0,67.0,13602.0,3,3,3.0,0,3.0,2.0,4,10.356984533706918,1.0,0.0,2.5
0.0,23.0,5556.0,3,2,3.0,0,0.0,2.0,4,5.5611513518299125,1.0,2.0,0.8
0.0,11.0,4667.0,2,2,1.0,0,0.0,2.0,3,10.594295381059624,1.0,2.0,0.7
0.0,39.0,14444.0,4,3,3.0,0,3.0,2.0,4,11.022736662002515,1.0,2.0,1.95
0.0,94.0,7188.0,2,2,1.0,0,1.0,0.0,3,17.784613471274927,1.0,1.0,0.45
0.0,81.0,10828.0,3,2,3.0,0,3.0,2.0,3,9.6830758001837,1.0,2.0,1.7
0.0,89.0,9615.0,2,2,1.0,0,3.0,2.0,4,17.99082227512503,1.0,2.0,0.5
0.0,67.0,14997.0,3,3,3.0,0,3.0,2.0,4,10.356984533706918,2.0,0.0,2.8
0.0,37.0,15659.0,3,2,4.0,0,4.0,2.0,4,8.807024823365314,0.0,0.0,1.45
0.0,64.0,13497.0,3,3,2.0,0,3.0,2.0,4,9.325542058746992,1.0,2.0,2.2
0.0,100.0,9464.0,2,2,2.0,0,3.0,1.0,3,10.315343042261606,2.0,0.0,0.9
0.0,98.0,7782.0,2,2,2.0,0,1.0,0.0,4,19.467363206073667,1.0,2.0,0.4
0.0,79.0,7781.0,3,3,4.0,0,1.0,0.0,4,16.16370147099269,2.0,2.0,1.35
0.0,69.0,8043.0,4,4,0.0,0,3.0,2.0,4,12.360901540268934,1.0,2.0,1.85
0.0,98.0,6579.0,1,1,1.0,0,1.0,2.0,4,19.467363206073667,1.0,2.0,0.25
0.0,92.0,7964.0,2,2,3.0,0,1.0,2.0,4,16.34701940513016,1.0,1.0,0.88
0.0,99.0,6594.0,2,2,2.0,0,1.0,0.0,4,12.749467120010372,2.0,1.0,1.15
0.0,99.0,6789.0,2,2,2.0,0,1.0,2.0,3,12.749467120010372,1.0,2.0,0.85
0.0,85.0,7500.0,2,2,2.0,0,3.0,2.0,5,16.990726505283792,1.0,1.0,0.75
0.0,23.0,7444.0,4,4,4.0,0,1.0,2.0,4,5.5611513518299125,1.0,1.0,3.35
0.0,91.0,8108.0,3,3,4.0,0,1.0,2.0,4,14.818928591501624,1.0,0.0,1.5
0.0,95.0,6346.0,4,4,4.0,1,0.0,2.0,4,19.432123901520796,2.0,0.0,1.65
0.0,95.0,6966.0,4,4,4.0,1,0.0,2.0,4,19.432123901520796,2.0,0.0,2.0
0.0,70.0,7627.0,2,2,2.0,0,1.0,2.0,4,12.476058817032778,1.0,1.0,0.9
0.0,73.0,6702.0,3,3,3.0,0,4.0,2.0,3,12.87125291025613,1.0,0.0,1.25
0.0,39.0,6506.0,3,3,4.0,0,3.0,0.0,4,11.022736662002515,1.0,2.0,1.0
0.0,0.0,6150.0,3,3,0.0,0,4.0,2.0,4,8.28225319142505,1.0,1.0,1.08
0.0,88.0,8929.0,3,5,3.0,0,1.0,2.0,4,16.678635298845226,1.0,1.0,2.15
0.0,69.0,12107.0,1,1,1.0,0,3.0,2.0,4,12.360901540268934,1.0,0.0,1.0
0.0,73.0,13074.0,2,2,3.0,0,1.0,2.0,4,12.87125291025613,2.0,0.0,1.65
